year,month,day,hour,minute,rain,meta
1863,1,1,8.0,0,0.0,orig=0.0in
1863,1,2,8.0,0,0.0,orig=0.0in
1863,1,3,8.0,0,0.0,orig=0.0in
1863,1,5,8.0,0,0.0,orig=0.0in
1863,1,6,8.0,0,0.0,orig=0.0in
1863,1,7,8.0,0,0.0,orig=0.0in
1863,1,8,8.0,0,0.0,orig=0.0in
1863,1,9,8.0,0,0.0,orig=0.0in
1863,1,10,8.0,0,0.0,orig=0.0in
1863,1,12,8.0,0,0.0,orig=0.0in
1863,1,13,8.0,0,0.0,orig=0.0in
1863,1,14,8.0,0,0.0,orig=0.0in
1863,1,15,8.0,0,0.0,orig=0.0in
1863,1,16,8.0,0,0.0,orig=0.0in
1863,1,17,8.0,0,0.0,orig=0.0in
1863,1,19,8.0,0,0.0,orig=0.0in
1863,1,20,8.0,0,0.0,orig=0.0in
1863,1,21,8.0,0,0.0,orig=0.0in
1863,1,22,8.0,0,0.0,orig=0.0in
1863,1,23,8.0,0,0.0,orig=0.0in
1863,1,24,8.0,0,0.0,orig=0.0in
1863,1,26,8.0,0,0.0,orig=0.0in
1863,1,27,8.0,0,0.0,orig=0.0in
1863,1,28,8.0,0,0.0,orig=0.0in
1863,1,29,8.0,0,0.0,orig=0.0in
1863,1,30,8.0,0,0.0,orig=0.0in
1863,1,31,8.0,0,0.0,orig=0.0in
1863,2,3,8.0,0,0.0,orig=0.0in
1863,2,4,8.0,0,0.0,orig=0.0in
1863,2,5,8.0,0,0.0,orig=0.0in
1863,2,6,8.0,0,0.0,orig=0.0in
1863,2,7,8.0,0,0.0,orig=0.0in
1863,2,9,8.0,0,0.0,orig=0.0in
1863,2,10,8.0,0,0.0,orig=0.0in
1863,2,11,8.0,0,0.0,orig=0.0in
1863,2,12,8.0,0,0.0,orig=0.0in
1863,2,13,8.0,0,0.0,orig=0.0in
1863,2,14,8.0,0,0.0,orig=0.0in
1863,2,16,8.0,0,0.0,orig=0.0in
1863,2,17,8.0,0,0.0,orig=0.0in
1863,2,18,8.0,0,0.0,orig=0.0in
1863,2,19,8.0,0,0.0,orig=0.0in
1863,2,20,8.0,0,0.0,orig=0.0in
1863,2,21,8.0,0,0.0,orig=0.0in
1863,2,23,8.0,0,0.0,orig=0.0in
1863,2,24,8.0,0,0.0,orig=0.0in
1863,2,25,8.0,0,0.0,orig=0.0in
1863,2,26,8.0,0,0.0,orig=0.0in
1863,2,27,8.0,0,0.0,orig=0.0in
1863,2,28,8.0,0,0.0,orig=0.0in
1863,3,2,8.0,0,0.0,orig=0.0in
1863,3,3,8.0,0,0.0,orig=0.0in
1863,3,4,8.0,0,0.0,orig=0.0in
1863,3,5,8.0,0,0.0,orig=0.0in
1863,3,6,8.0,0,0.0,orig=0.0in
1863,3,7,8.0,0,0.0,orig=0.0in
1863,3,9,8.0,0,0.0,orig=0.0in
1863,3,10,8.0,0,0.0,orig=0.0in
1863,3,11,8.0,0,0.0,orig=0.0in
1863,3,12,8.0,0,0.0,orig=0.0in
1863,3,13,8.0,0,0.0,orig=0.0in
1863,3,14,8.0,0,0.0,orig=0.0in
1863,3,16,8.0,0,0.0,orig=0.0in
1863,3,17,8.0,0,0.0,orig=0.0in
1863,3,18,8.0,0,0.0,orig=0.0in
1863,3,19,8.0,0,0.0,orig=0.0in
1863,3,20,8.0,0,0.0,orig=0.0in
1863,3,21,8.0,0,0.0,orig=0.0in
1863,3,23,8.0,0,0.0,orig=0.0in
1863,3,24,8.0,0,0.0,orig=0.0in
1863,3,25,8.0,0,0.0,orig=0.0in
1863,3,26,8.0,0,0.0,orig=0.0in
1863,3,27,8.0,0,0.0,orig=0.0in
1863,3,28,8.0,0,0.0,orig=0.0in
1863,3,30,8.0,0,0.0,orig=0.0in
1863,3,31,8.0,0,0.0,orig=0.0in
1863,4,1,8.0,0,0.0,orig=0.0in
1863,4,2,8.0,0,0.0,orig=0.0in
1863,4,4,8.0,0,0.0,orig=0.0in
1863,4,6,8.0,0,0.0,orig=0.0in
1863,4,7,8.0,0,0.0,orig=0.0in
1863,4,8,8.0,0,0.0,orig=0.0in
1863,4,9,8.0,0,0.0,orig=0.0in
1863,4,10,8.0,0,0.0,orig=0.0in
1863,4,11,8.0,0,0.0,orig=0.0in
1863,4,13,8.0,0,0.0,orig=0.0in
1863,4,14,8.0,0,0.0,orig=0.0in
1863,4,15,8.0,0,0.0,orig=0.0in
1863,4,16,8.0,0,0.0,orig=0.0in
1863,4,17,8.0,0,0.0,orig=0.0in
1863,4,18,8.0,0,0.0,orig=0.0in
1863,4,20,8.0,0,0.0,orig=0.0in
1863,4,21,8.0,0,0.0,orig=0.0in
1863,4,22,8.0,0,0.0,orig=0.0in
1863,4,23,8.0,0,0.0,orig=0.0in
1863,4,24,8.0,0,0.0,orig=0.0in
1863,4,25,8.0,0,0.0,orig=0.0in
1863,4,27,8.0,0,0.0,orig=0.0in
1863,4,28,8.0,0,0.0,orig=0.0in
1863,4,29,8.0,0,0.0,orig=0.0in
1863,4,30,8.0,0,0.0,orig=0.0in
1863,5,1,8.0,0,0.0,orig=0.0in
1863,5,2,8.0,0,0.0,orig=0.0in
1863,5,4,8.0,0,0.0,orig=0.0in
1863,5,5,8.0,0,0.0,orig=0.0in
1863,5,6,8.0,0,0.0,orig=0.0in
1863,5,7,8.0,0,0.0,orig=0.0in
1863,5,8,8.0,0,0.0,orig=0.0in
1863,5,9,8.0,0,0.0,orig=0.0in
1863,5,11,8.0,0,0.0,orig=0.0in
1863,5,12,8.0,0,0.0,orig=0.0in
1863,5,13,8.0,0,0.0,orig=0.0in
1863,5,14,8.0,0,0.0,orig=0.0in
1863,5,15,8.0,0,0.0,orig=0.0in
1863,5,16,8.0,0,0.0,orig=0.0in
1863,5,18,8.0,0,0.0,orig=0.0in
1863,5,19,8.0,0,0.0,orig=0.0in
1863,5,20,8.0,0,0.0,orig=0.0in
1863,5,21,8.0,0,0.0,orig=0.0in
1863,5,22,8.0,0,0.0,orig=0.0in
1863,5,23,8.0,0,0.0,orig=0.0in
1863,5,25,8.0,0,0.0,orig=0.0in
1863,5,26,8.0,0,0.0,orig=0.0in
1863,5,27,8.0,0,0.0,orig=0.0in
1863,5,28,8.0,0,0.0,orig=0.0in
1863,5,29,8.0,0,0.0,orig=0.0in
1863,5,30,8.0,0,0.0,orig=0.0in
