SEF	1.0.0
ID	DWRUK_CAMBRIDGE
Name	Cambridge Observatory
Lat	52.21687
Lon	0.09513
Alt	26.82
Source	DWR_UKMO
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	PTC=Y|PGC=N
Year	Month	Day	Hour	Minute	Period	Value	Meta
1872	7	2	8	0	0	1015.578361	orig=29.99F
1872	7	3	8	0	0	1023.367058	orig=30.22F
1872	7	4	8	0	0	1025.737531	orig=30.29F
1872	7	5	8	0	0	1019.30339	orig=30.1F
1872	7	6	8	0	0	1013.885166	orig=29.94F
1872	7	7	8	0	0	1007.451025	orig=29.75F
1872	7	8	8	0	0	1003.725996	orig=29.64F
1872	7	9	8	0	0	1008.805581	orig=29.79F
1872	7	10	8	0	0	1010.837415	orig=29.85F
1872	7	11	8	0	0	1010.498776	orig=29.84F
1872	7	12	8	0	0	1010.498776	orig=29.84F
1872	7	13	8	0	0	1009.821498	orig=29.82F
1872	7	14	8	0	0	1010.837415	orig=29.85F
1872	7	15	8	0	0	1011.176054	orig=29.86F
1872	7	16	8	0	0	1012.191971	orig=29.89F
1872	7	17	8	0	0	1010.498776	orig=29.84F
1872	7	18	8	0	0	1013.885166	orig=29.94F
1872	7	19	8	0	0	1016.594278	orig=30.02F
1872	7	20	8	0	0	1018.287473	orig=30.07F
1872	7	22	8	0	0	1010.160137	orig=29.83F
1872	7	23	8	0	0	1010.498776	orig=29.84F
1872	7	24	8	0	0	1010.498776	orig=29.84F
1872	7	25	8	0	0	1010.837415	orig=29.85F
1872	7	26	8	0	0	1008.805581	orig=29.79F
1872	7	27	8	0	0	1013.546527	orig=29.93F
1872	7	28	8	0	0	1015.239722	orig=29.98F
1872	7	29	8	0	0	1009.14422	orig=29.8F
1872	7	30	8	0	0	1004.064635	orig=29.65F
1872	7	31	8	0	0	1012.53061	orig=29.9F
1872	8	1	8	0	0	1011.514693	orig=?29.87
1872	8	2	8	0	0	1004.403274	orig=29.66F
1872	8	3	8	0	0	1006.773747	orig=29.73F
1872	8	4	8	0	0	1011.514693	orig=29.87F
1872	8	5	8	0	0	1008.128303	orig=29.77F
1872	8	6	8	0	0	1006.435108	orig=29.72F
1872	8	7	8	0	0	1002.032801	orig=29.59F
1872	8	8	8	0	0	1003.387357	orig=29.63F
1872	8	9	8	0	0	1017.610195	orig=30.05F
1872	8	10	8	0	0	1006.096469	orig=29.71F
1872	8	11	8	0	0	1005.75783	orig=29.7F
1872	8	12	8	0	0	1016.255639	orig=30.01F
1872	8	13	8	0	0	1022.351141	orig=30.19F
1872	8	14	8	0	0	1026.07617	orig=30.3F
1872	8	15	8	0	0	1025.398892	orig=30.28F
1872	8	16	8	0	0	1022.68978	orig=30.2F
1872	8	17	8	0	0	1020.996585	orig=30.15F
1872	8	18	8	0	0	1023.028419	orig=30.21F
1872	8	19	8	0	0	1024.721614	orig=30.26F
1872	8	20	8	0	0	1019.642029	orig=30.11F
1872	8	21	8	0	0	1015.917	orig=30.0F
1872	8	22	8	0	0	1015.917	orig=30.0F
1872	8	23	8	0	0	1022.351141	orig=30.19F
1872	8	24	8	0	0	1026.07617	orig=30.3F
1872	8	25	8	0	0	1022.012502	orig=30.18F
1872	8	26	8	0	0	1009.821498	orig=29.82F
