SEF	1.0.0
ID	DWRUK_PARIS
Name	Paris (Montsouris)
Lat	48.82170
Lon	2.33781
Alt	
Source	DWR_UKMO
Link	
Vbl	tb
Stat	point
Units	C
Meta	alias=Parc Montsouris Observatory
Year	Month	Day	Hour	Minute	Period	Value	Meta
1872	10	18	7	51	0	8.33333333333	orig=47F
1872	10	19	7	51	0	8.88888888889	orig=48F
1872	10	20	7	51	0	13.3333333333	orig=56F
1872	10	21	7	51	0	8.33333333333	orig=47F
1872	10	22	7	51	0	8.33333333333	orig=47F
1872	10	23	7	51	0	7.22222222222	orig=45F
1872	10	24	7	51	0	6.11111111111	orig=43F
1872	10	25	7	51	0	7.77777777778	orig=46F
1872	10	26	7	51	0	7.22222222222	orig=45F
1872	10	27	7	51	0	8.88888888889	orig=48F
1872	10	28	7	51	0	12.7777777778	orig=55F
1872	10	29	7	51	0	7.77777777778	orig=46F
1872	10	30	7	51	0	10	orig=50F
1872	10	31	7	51	0	11.6666666667	orig=53F
1872	11	1	7	51	0	11.6666666667	orig=53F
1872	11	2	7	51	0	11.1111111111	orig=52F
1872	11	3	7	51	0	5.55555555556	orig=42F
1872	11	4	7	51	0	4.44444444444	orig=40F
1872	11	5	7	51	0	10.5555555556	orig=51F
1872	11	6	7	51	0	9.44444444444	orig=49F
1872	11	7	7	51	0	10	orig=50F
1872	11	8	7	51	0	3.33333333333	orig=38F
1872	11	9	7	51	0	7.77777777778	orig=46F
1872	11	10	7	51	0	6.11111111111	orig=43F
1872	11	11	7	51	0	3.88888888889	orig=39F
1872	11	12	7	51	0	4.44444444444	orig=40F
1872	11	13	7	51	0	1.11111111111	orig=34F
1872	11	14	7	51	0	2.77777777778	orig=37F
1872	11	15	7	51	0	0.555555555556	orig=33F
1872	11	16	7	51	0	1.11111111111	orig=34F
1872	11	17	7	51	0	5	orig=41F
1872	11	18	7	51	0	3.88888888889	orig=39F
1872	11	19	7	51	0	5.55555555556	orig=42F
1872	11	20	7	51	0	10	orig=50F
1872	11	21	7	51	0	7.77777777778	orig=46F
1872	11	22	7	51	0	10	orig=50F
1872	11	23	7	51	0	7.77777777778	orig=46F
1872	11	25	7	51	0	7.22222222222	orig=45F
1872	11	26	7	51	0	9.44444444444	orig=49F
1872	11	27	7	51	0	11.6666666667	orig=53F
1872	11	28	7	51	0	11.6666666667	orig=53F
1872	11	29	7	51	0	6.66666666667	orig=44F
1872	11	30	7	51	0	9.44444444444	orig=49F
1872	12	1	7	51	0	6.66666666667	orig=44F
1872	12	4	7	51	0	4.44444444444	orig=40F
1872	12	5	7	51	0	0.555555555556	orig=33F
1872	12	6	7	51	0	6.66666666667	orig=44F
1872	12	8	7	51	0	5.55555555556	orig=42F
1872	12	9	7	51	0	3.33333333333	orig=38F
1872	12	10	7	51	0	3.33333333333	orig=38F
1872	12	11	7	51	0	1.11111111111	orig=34F
1872	12	12	7	51	0	0	orig=32F
1872	12	13	7	51	0	0.555555555556	orig=33F
1872	12	14	7	51	0	6.11111111111	orig=43F
1872	12	15	7	51	0	6.11111111111	orig=43F
1872	12	16	7	51	0	6.11111111111	orig=43F
1872	12	17	7	51	0	5.55555555556	orig=42F
1872	12	19	7	51	0	6.66666666667	orig=44F
1872	12	20	7	51	0	2.77777777778	orig=37F
1872	12	21	7	51	0	5.55555555556	orig=42F
1872	12	22	7	51	0	8.88888888889	orig=48F
1872	12	25	7	51	0	7.77777777778	orig=46F
1872	12	26	7	51	0	7.77777777778	orig=46F
1872	12	27	7	51	0	5.55555555556	orig=42F
1872	12	28	7	51	0	4.44444444444	orig=40F
1872	12	29	7	51	0	4.44444444444	orig=40F
1872	12	30	7	51	0	3.33333333333	orig=38F
1872	12	31	7	51	0	3.33333333333	orig=38F
