1862,7,6,Sunday,DWR_1862_07-5.jpg
NAIRN,29.57,51,49,0.08
ABERDEEN,29.54,52,49,0
LEITH,29.43,50,49,0
BERWICK,29.42,55,52,0.56
ARDROSSAN,29.43,54,51,0.09
PORTRUSH,29.44,53,51,0
GALWAY,29.37,55,53,0
VALENTIA,29.39,54,52,0
QUEENSTOWN,29.36,60,58,0.53
MILFORD,999,999,999,999
HOLYHEAD,29.28,58,57,0.5
LIVERPOOL,29.35,60,58,0.2
PENZANCE,29.42,60,58,0.3
PLYMOUTH,29.39,59,56,0.25
JERSEY,29.56,65,60,0
PORTLAND,29.47,61,58,0.3
PORTSMOUTH,29.49,63,60,?1.22
DOVER,999,999,999,999
LONDON,29.48,60,57,0.22
YARMOUTH,29.46,62,58,0
SCARBOROUGH,29.39,57,56,0.5
SHIELDS,29.36,57,55,0
HELIGOLAND,29.52,60,59,0
HELDER,29.54,61,999,0
COPENHAGEN,29.63,57,999,0
BREST,29.53,58,999,0
BAYONNE,999,67,999,0
LISBON,30.06,67,999,0
