1862,9,23,Tuesday,DWR_1862_09-20.jpg
NAIRN,30.22,52,51,0
ABERDEEN,30.2,55,52,0
LEITH,30.2,50,47,0
BERWICK,30.23,54,47,0
ARDROSSAN,30.17,55,52,0
PORTRUSH,30.19,59,56,0
GALWAY,30.04,51,45,0
VALENTIA,29.91,59,55,0
QUEENSTOWN,29.95,58,56,0
HOLYHEAD,30.09,51,49,0
LIVERPOOL,30.07,52,48,0
PEMBROKE,30.06,55,53,0
PENZANCE,29.99,60,59,0
PLYMOUTH,30,59,56,0
JERSEY,30.02,58,55,0
WEYMOUTH,30.05,55,52,0
PORTSMOUTH,30.07,54,50,0
DOVER,30.12,999,999,0
LONDON,30.14,57,54,0
YARMOUTH,30.18,57,52,0
SCARBOROUGH,30.26,55,47,0
SHIELDS,30.21,50,47,0
HELIGOLAND,30.25,53,999,0
HELDER,30.21,54,999,0
COPENHAGEN,30.11,51,999,0
BREST,29.92,62,999,0
BAYONNE,999,65,999,0
LISBON,999,999,999,999
