1862,12,3,Wednesday,DWR_1862_12-2.jpg
NAIRN,29.78,42,1,0
ABERDEEN,29.83,45,1,0
LEITH,29.73,48,2,0
BERWICK,29.79,46,1,0
ARDROSSAN,29.61,42,1,0
PORTRUSH,999,999,999,999
GALWAY,29.36,47,1,0
VALENTIA,29.22,51,2,0.1
QUEENSTOWN,29.34,51,0,0.4
HOLYHEAD,29.54,47,2,0
LIVERPOOL,29.64,47,1,0.03
PEMBROKE,29.46,48,1,0.11
PENZANCE,29.41,51,1,0
PLYMOUTH,29.47,51,3,0.18
JERSEY,29.57,48,3,0.08
WEYMOUTH,29.6,50,3,0.09
PORTSMOUTH,29.65,47,2,0.12
DOVER,29.77,48,3,0
LONDON,29.71,44,2,0
YARMOUTH,29.83,45,1,0
SCARBOROUGH,29.78,46,1,0
SHIELDS,29.76,47,2,0
HELIGOLAND,30.08,33,1,0
HELDER,29.95,33,999,0
COPENHAGEN,30.31,32,999,0
BREST,29.34,48,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,59,999,0
LISBON,999,999,999,999
