1862,12,20,Saturday,DWR_1862_12-19.jpg
NAIRN,29.34,42,2,0.25
ABERDEEN,29.25,41,1,0.45
LEITH,29.34,42,3,0.47
BERWICK,29.24,41,2,0
ARDROSSAN,29.55,43,3,0.37
PORTRUSH,999,999,999,999
GALWAY,30,40,0,0.23
VALENTIA,30.11,45,4,0.14
QUEENSTOWN,30.01,46,1,0
HOLYHEAD,29.69,42,3,0
LIVERPOOL,29.6,42,3,0.05
PEMBROKE,29.76,44,5,0
PENZANCE,30.04,46,1,0
PLYMOUTH,29.91,43,4,0
JERSEY,29.93,43,1,0.1
WEYMOUTH,29.77,42,4,0.07
PORTSMOUTH,29.7,42,2,0
LONDON,29.54,40,1,0.18
YARMOUTH,29.32,47,4,0
DOVER,29.55,48,3,0
SCARBOROUGH,29.2,40,4,0
SHIELDS,29.24,40,4,0
HELIGOLAND,28.88,40,2,0.15
HELDER,29.1,40,999,0
COPENHAGEN,999,999,999,999
BREST2,30.04,50,999,0
BREST,30.07,48,4,0.24
LORIENT,29.95,999,999,0
ROCHEFORT,30.08,50,2,0.08
BAYONNE,999,54,999,0
LISBON,999,999,999,999
