1863,2,16,Monday,DWR_1863_02-12.jpg
NAIRN,30.34,36,4,0
ABERDEEN,30.48,36,4,0
LEITH,30.52,34,2,0
ARDROSSAN,30.52,36,3,0
PORTRUSH,30.43,34,3,0
GALWAY,30.43,46,999,0
VALENTIA,30.41,47,4,0
QUEENSTOWN,30.45,48,1,0
HOLYHEAD,30.51,45,3,0
LIVERPOOL,30.57,34,2,0
PEMBROKE,30.56,39,2,0
PENZANCE,30.52,45,1,0
JERSEY,999,999,999,999
BREST,30.43,36,2,0
LORIENT,30.39,34,2,0
ROCHEFORT,30.36,32,2,0
PLYMOUTH,30.54,41,1,0
WEYMOUTH,30.59,40,2,0
PORTSMOUTH,30.6,38,2,0
KEW,30.66,28,999,0
LONDON,30.64,30,999,0
YARMOUTH,30.68,40,2,0
SCARBOROUGH,30.64,34,1,0
SHIELDS,30.62,33,1,0
HELIGOLAND,30.72,35,0,0
COPENHAGEN,30.56,32,999,0
HELDER,30.71,30,999,0
BAYONNE,999,39,999,0
OPORTO,999,999,999,999
LISBON,30.22,53,999,0
