1863,3,12,Thursday,DWR_1863_03-10.jpg
NAIRN,29.48,28,999,0
ABERDEEN,29.43,32,1,0.2
LEITH,29.44,36,2,0
ARDROSSAN,29.35,36,1,0
PORTRUSH,29.19,35,1,0
GALWAY,999,44,2,0.5
VALENTIA,29.14,46,1,0.59
QUEENSTOWN,29.14,44,1,0.47
HOLYHEAD,29.16,41,2,0
LIVERPOOL,29.35,37,2,0
PEMBROKE,29.19,43,2,0.44
PENZANCE,29.24,47,1,0.4
BREST,29.33,48,1,0.39
LORIENT,29.33,52,1,0.2
ROCHEFORT,29.61,43,1,0.2
PLYMOUTH,29.18,47,1,0.58
WEYMOUTH,29.29,42,1,0.27
PORTSMOUTH,29.38,44,3,0
KEW,29.47,39,2,0
LONDON,29.49,37,2,0
YARMOUTH,29.56,35,1,0
SCARBOROUGH,29.5,33,0,0
SHIELDS,29.5,33,3,0
HELIGOLAND,29.66,37,1,0
COPENHAGEN,29.65,35,999,0
HELDER,29.63,39,999,0
BAYONNE,999,51,999,0
LISBON,30.2,57,999,0
