1863,5,22,Friday,DWR_1863_05-18.jpg
NAIRN,30.29,48,3,0
ABERDEEN,30.25,49,5,0.07
LEITH,30.25,49,4,0.06
ARDROSSAN,30.28,47,3,0
PORTRUSH,30.27,48,2,0
GALWAY,30.22,51,4,0
VALENTIA,30.12,51,4,0
QUEENSTOWN,30.14,53,1,0
HOLYHEAD,30.19,48,4,0
LIVERPOOL,30.22,48,6,0
PEMBROKE,30.14,48,3,0
PENZANCE,30.06,49,2,0
BREST,29.88,54,4,0
LORIENT,29.84,52,3,0
ROCHEFORT,29.8,57,3,0
PLYMOUTH,29.98,50,5,0
WEYMOUTH,30.06,48,3,0
PORTSMOUTH,30.05,49,4,0
KEW,30.1,48,5,0
LONDON,30.11,48,3,0
DOVER,30.04,47,2,0
YARMOUTH,30.13,44,2,0
SCARBOROUGH,30.19,49,3,0
SHIELDS,30.27,48,5,0
HELIGOLAND,30.04,49,3,0
COPENHAGEN,999,999,999,999
HELDER,30.08,48,999,0
LISBON,29.79,61,999,0
