1871,11,12,Sunday,DWR_1871_11-22.jpg
CHRISTIANSUND,29.42,32, NaN,
SKUDDESNAES,29.45,31, NaN,
THURSO,29.78,38,0.09,
WICK,29.85,34,0,
OXO,29.45,36, NaN,
NAIRN,29.86,34,0.09,
ABERDEEN,29.84,35,0.04,
LEITH,29.89,35,0,
ARDROSSAN,29.93,39,0.02,
GREENCASTLE,29.95,37,0.07,
SHIELDS,29.86,34,0,
SCARBOROUGH,29.92,36,0.09,
LIVERPOOL,999,999,999,
HOLYHEAD,29.98,41,0,
HELDER,999,999, NaN,
YARMOUTH,29.92,39,0,
VALENTIA,29.98,42,0,
ROCHESPOINT,29.99,36,0,
PEMBROKE,999,42,0.06,
LONDON,29.49,29,0.01,
DOVER,29.96,34,0.05,
CAPGRISNEZ,999,40,999,
PORTSMOUTH,30.01,32,0,
PLYMOUTH,30.03,30,0,
PENZANCE,999,999,999,
SCILLY,30,46,0.2,
BREST,999,42,0.12,
LORIENT,30.02,42,0.2,
ROCHEFORT,29.97,41,0.79,
BIARRITZ,30.01,41,0.16,
