1872,1,4,Thursday,DWR_1872_01-5.jpg,,,,,
CHRISTIANSUND,29.38,37,34,999,999,999,999,999,999
SKUDDESNAES,29.42,40,38,999,999,999,999,999,999
THURSO,28.68,39,38,999,999,0.01,999,999,999
WICK,28.72,41,40,999,999,0.24,999,999,999
OXO,29.68,40,39,999,999,999,999,999,999
NAIRN,28.75,37,34,999,999,0,999,999,999
ABERDEEN,28.85,39,37,999,999,0.17,999,999,999
LEITH,28.93,40,37,999,999,0.38,999,999,999
ARDROSSAN,29.97,41,38,999,999,0.1,999,999,999
GREENCASTLE,28.96,38,36,999,999,0.15,999,999,999
SHIELDS,29.08,40,39,999,999,0.07,999,999,999
SCARBOROUGH,29.16,39,38,999,999,0.31,999,999,999
LIVERPOOL,29.22,40,37,999,999,0.14,999,999,999
HOLYHEAD,29.19,40,38,999,999,0.6,999,999,999
HELDER,29.64,999,999,999,999,0,999,999,999
YARMOUTH,29.37,44,44,999,999,0.09,999,999,999
VALENTIA,29.23,41,39,999,999,999,999,999,999
ROCHESPOINT,29.3,38,37,999,999,0.59,999,999,999
PEMBROKE,999,999,999,999,999,999,999,999,999
LONDON,29.39,45,44,999,999,0.17,999,999,999
DOVER,29.48,44,44,999,999,0.25,999,999,999
CAPGRISNEZ,29.47,42,40,999,999,0.12,999,999,999
PORTSMOUTH,29.47,46,45,999,999,0.2,999,999,999
PLYMOUTH,29.48,46,44,999,999,0.2,999,999,999
PENZANCE,999,999,999,999,999,999,999,999,999
SCILLY,29.5,45,43,999,999,0.35,999,999,999
BREST,999,51,47,999,999,0.2,999,999,999
LORIENT,29.73,51,51,999,999,0.16,999,999,999
ROCHEFORT,29.91,46,44,999,999,0.08,999,999,999
BIARRITZ,30.04,51,47,999,999,0,999,999,999
