1872,1,5,Friday,DWR_1872_01-6.jpg,,,,,
CHRISTIANSUND,29.05,41,34,999,999,0,999,999,999
SKUDDESNAES,28.81,39,37,999,999,0,999,999,999
THURSO,28.56,30,27,999,999,0.02,999,999,999
WICK,28.56,31,30,999,999,0,999,999,999
OXO,29.12,39,37,999,999,0,999,999,999
NAIRN,28.57,30,30,999,999,0.02,999,999,999
ABERDEEN,28.51,37,36,999,999,0,999,999,999
LEITH,28.55,34,33,999,999,0.17,999,999,999
ARDROSSAN,28.57,35,34,999,999,0.15,999,999,999
GREENCASTLE,28.64,35,34,999,999,0.15,999,999,999
SHIELDS,28.6,41,39,999,999,0.21,999,999,999
SCARBOROUGH,28.72,41,40,999,999,0.14,999,999,999
LIVERPOOL,28.8,40,38,999,999,0.43,999,999,999
HOLYHEAD,28.76,42,38,999,999,0,999,999,999
HELDER,28.95,47,999,999,999,0,999,999,999
YARMOUTH,28.93,48,47,999,999,0.21,999,999,999
VALENTIA,28.84,41,39,999,999,0.46,999,999,999
ROCHESPOINT,28.9,38,36,999,999,0.52,999,999,999
PEMBROKE,28.91,46,40,999,999,0.35,999,999,999
LONDON,28.99,48,46,999,999,0.22,999,999,999
DOVER,29.05,48,47,999,999,0.45,999,999,999
CAPGRISNEZ,29.09,46,46,999,999,0.47,999,999,999
PORTSMOUTH,29.07,47,46,999,999,0.45,999,999,999
PLYMOUTH,29.05,48,45,999,999,0.39,999,999,999
PENZANCE,999,999,999,999,999,999,999,999,999
SCILLY,29.07,45,43,999,999,0.97,999,999,999
BREST,999,50,48,999,999,0.71,999,999,999
LORIENT,29.33,50,50,999,999,1.1,999,999,999
ROCHEFORT,999,53,999,999,999,0.24,999,999,999
BIARRITZ,29.76,58,51,999,999,0,999,999,999
