1872,4,16,Tuesday,DWR_1872_04-30.jpg,,,,,
CHRISTIANSUND,29.28,41,40, NaN, NaN, NaN, NaN, NaN, NaN
SUMBURGHHEAD,999,999,999,999,999,999, NaN, NaN, NaN
SKUDDESNAES,29.47,42,40, NaN, NaN, NaN,29.66,43,43
THURSO,29.73,42,39,53,38,0.06,29.74,51,47
WICK,29.72,41,40,49,999,0.06, NaN, NaN, NaN
OXO,29.45,43,39, NaN, NaN, NaN, NaN, NaN, NaN
NAIRN,29.84,45,41,56,43,0.04, NaN, NaN, NaN
ABERDEEN,29.82,45,41,57,42,0.05, NaN, NaN, NaN
LEITH,29.93,50,44,59,43,0, NaN, NaN, NaN
ARDROSSAN,30.03,48,43,54,46,0.02, NaN, NaN, NaN
FANO,999,999,999, NaN, NaN, NaN, NaN, NaN, NaN
GREENCASTLE,30.12,48,45,54,43,0.03,30.07,52,49
SHIELDS,29.96,47,43,55,41,0, NaN, NaN, NaN
SCARBOROUGH,29.9,50,47,62,41,0,29.97,60,53
CUXHAVEN,29.73,46,46,53,999,0, NaN, NaN, NaN
LIVERPOOL,30.06,50,46,58,44,0, NaN, NaN, NaN
HOLYHEAD,30.16,47,45,57,47,0,30.15,56,51
HELDER,29.9,47,999, NaN, NaN, NaN, NaN, NaN, NaN
YARMOUTH,30.01,48,44,62,43,0, NaN, NaN, NaN
VALENTIA,30.3,50,47,55,45,0.03,30.25,54,51
ROCHESPOINT,30.25,48,45,62,42,0, NaN, NaN, NaN
PEMBROKE,30.21,48,45,53,44,0, NaN, NaN, NaN
LONDON,30.1,49,44,66,45,0,30.09,64,54
DOVER,30.05,50,46,56,46,0, NaN, NaN, NaN
CAPGRISNEZ,30.05,47,43,57,47,0, NaN, NaN, NaN
BRUSSELS,30,50, NaN, NaN, NaN, NaN, NaN, NaN, NaN
PORTSMOUTH,30.13,50,47,64,46,0, NaN, NaN, NaN
PLYMOUTH,30.18,50,48,62,44,0, NaN, NaN, NaN
SCILLY,30.21,52,50,56,48,0,30.2,55,53
CHARLEVILLE,29.98,48, NaN, NaN, NaN, NaN, NaN, NaN, NaN
PARIS,30.05,49,999,999,999,0, NaN, NaN, NaN
BREST,999,47,47,66,40,0, NaN, NaN, NaN
LORIENT,30.19,48,44,71,45,0, NaN, NaN, NaN
ROCHEFORT,30.11,52,50,74,46,0,30.09,73,62
LYONS,30,61, NaN, NaN, NaN, NaN, NaN, NaN, NaN
BIARRITZ,30.1,52,50,59,50,0, NaN, NaN, NaN
CORUNNA,999,999, NaN, NaN, NaN, NaN, NaN, NaN, NaN
TOULON,29.88,51,51,68,49,0, NaN, NaN, NaN
