1872,7,1,Monday,DWR_1872_07-0.jpg,,,,,
CHRISTIANSUND,29.82,54,54,999,999,999,999,999,999
SUMBURGHHEAD,999,999,999,999,999,999,999,999,999
SKUDDESNAES,29.8,61,57,999,999,999,29.8,58,54
THURSO,29.55,54,53,61,52,0.03,999,999,999
WICK,29.61,53,53,59,51,0,999,999,999
OXO,29.9,63,57,999,999,999,999,999,999
NAIRN,29.59,56,54,72,56,0.08,999,999,999
ABERDEEN,29.62,55,54,62,52,0.01,999,999,999
LEITH,29.64,56,54,70,56,0.16,999,999,999
ARDROSSAN,29.69,57,53,67,54,0.43,999,999,999
FANO,29.84,57,54,999,999,999,999,999,999
GREENCASTLE,29.67,57,53,63,51,0.17,999,999,999
SHIELDS,29.67,58,55,61,55,0.23,999,999,999
DONAGHADEE,999,999,999,999,999,999,999,999,999
SCARBOROUGH,29.71,58,58,61,54,0.12,999,999,999
YORK,999,999,999,999,999,999,999,999,999
CUXHAVEN,999,999,999,999,999,999,999,999,999
LIVERPOOL,29.81,59,55,72,54,0.02,999,999,999
HOLYHEAD,29.78,56,54,61,54,0.21,999,999,999
KINGSTOWN,999,999,999,999,999,999,999,999,999
HELDER,999,999,999,999,999,999,999,999,999
NOTTINGHAM,999,57,56,76,58,0.34,999,999,999
YARMOUTH,29.79,64,61,68,59,0,999,999,999
CAMBRIDGE,999,61,60,74,58,0.24,999,999,999
VALENTIA,29.76,57,55,62,55,0.57,999,999,999
ROCHESPOINT,29.79,57,54,64,50,0.45,999,999,999
OXFORD,29.82,999,999,73,999,0,999,999,999
PEMBROKE,29.86,56,53,61,54,0.49,999,999,999
LONDON,29.8,58,57,75,57,0.18,999,999,999
PORTISHEAD,999,999,999,999,999,999,999,999,999
DOVER,29.81,60,59,68,60,0.05,999,999,999
CAPGRISNEZ,29.82,62,60,68,58,0,999,999,999
BRUSSELS,29.87,66,999,999,999,999,999,999,999
PORTSMOUTH,29.98,62,57,68,57,0.12,999,999,999
PLYMOUTH,29.93,58,56,65,53,0.25,999,999,999
SCILLY,29.95,58,55,62,55,0.36,999,999,999
CHARLEVILLE,29.94,64,999,999,999,999,999,999,999
PARIS,29.93,66,999,999,999,999,999,999,999
BREST,999,57,57,64,53,0.2,999,999,999
LORIENT,30.04,58,56,69,55,0.04,999,999,999
ROCHEFORT,30.06,64,60,72,59,0,999,999,999
LYONS,30,72,999,999,999,999,999,999,999
BIARRITZ,30.1,66,53,72,54,0,999,999,999
CORUNNA,999,999,999,999,999,999,999,999,999
TOULON,29.97,69,55,78,63,999,999,999,999
