1874,5,17,Sunday,DWR_1874_05-39.jpg,,,,,
HAPARANDA,29.88,36,34, NaN, NaN, NaN, NaN, NaN, NaN
CHRISTIANSUND,30.22,43,39, NaN, NaN, NaN, NaN, NaN, NaN
HERNOSAND,29.99,45,41, NaN, NaN, NaN, NaN, NaN, NaN
SUMBURGHHEAD,999,999,999,999,999,999, NaN, NaN, NaN
WISBY,30.12,37,34, NaN, NaN, NaN, NaN, NaN, NaN
SKUDDESNAES,30.17,46,41, NaN, NaN, NaN,30.22,47,40
THURSO,30.28,52,49,57,34,0,30.32,54,47
WICK,30.31,49,44,53,32,0, NaN, NaN, NaN
STORNOWAY,30.3,50,48,56,36,0, NaN, NaN, NaN
OXO,30.1,47,41, NaN, NaN, NaN, NaN, NaN, NaN
SKAGEN,30.07,49,45, NaN, NaN, NaN, NaN, NaN, NaN
STOCKHOLM,30,41,33, NaN, NaN, NaN, NaN, NaN, NaN
NAIRN,30.32,50,46,54,36,0, NaN, NaN, NaN
ABERDEEN,30.31,51,47,52,37,0, NaN, NaN, NaN
LEITH,30.34,55,52,56,37,0, NaN, NaN, NaN
ARDROSSAN,30.35,55,49,58,40,0, NaN, NaN, NaN
FANO,30.12,48,43, NaN, NaN, NaN, NaN, NaN, NaN
GREENCASTLE,30.31,54,53,54,50,0.03,30.32,54,51
SHIELDS,30.32,46,43,50,38,0, NaN, NaN, NaN
DONAGHADEE,30.32,51,50,53,47,0, NaN, NaN, NaN
SCARBOROUGH,30.34,50,46,50,37,0,30.39,48,44
YORK,30.38,49,46,52,41,0, NaN, NaN, NaN
CUXHAVEN,30.17,48,44,999,43,0.03, NaN, NaN, NaN
LIVERPOOL,30.35,51,47,59,39,0, NaN, NaN, NaN
HOLYHEAD,30.34,51,48,56,47,0,30.36,56,51
KINGSTOWN,30.34,52,50,56,51,0.06, NaN, NaN, NaN
HELDER,999,999,999, NaN, NaN, NaN, NaN, NaN, NaN
NOTTINGHAM,30.37,49,45,58,32,0, NaN, NaN, NaN
YARMOUTH,30.34,48,43,52,39,0, NaN, NaN, NaN
CAMBRIDGE,30.36,46,41,54,34,0, NaN, NaN, NaN
VALENTIA,30.28,57,55,62,55,0.02,30.27,59,55
ROCHESPOINT,30.3,53,51,58,51,0.06, NaN, NaN, NaN
OXFORD,30.36,47,43,58,35,0, NaN, NaN, NaN
PEMBROKE,30.33,51,48,56,48,0.01, NaN, NaN, NaN
LONDON,30.36,50,44,58,34,0,30.36,54,48
PORTISHEAD,30.33,50,48,58,37,0, NaN, NaN, NaN
DOVER,30.32,53,45,54,39,0, NaN, NaN, NaN
CAPGRISNEZ,30.3,47,45,50,44,0, NaN, NaN, NaN
BRUSSELS,30.31,45, NaN, NaN, NaN, NaN, NaN, NaN, NaN
HURSTCASTLE,30.33,49,47,59,41,0, NaN, NaN, NaN
PLYMOUTH,30.33,54,50,63,46,0, NaN, NaN, NaN
SCILLY,30.31,53,49,59,49,0,30.35,55,51
CHARLEVILLE,999,47, NaN, NaN, NaN, NaN, NaN, NaN, NaN
PARIS,30.31,43,999,53,39,0, NaN, NaN, NaN
BREST,30.27,50,46,62,46,0, NaN, NaN, NaN
LORIENT,999,50,46,62,44,0, NaN, NaN, NaN
ROCHEFORT,30.27,50,43,70,43,0,30.28,999,999
LYONS,999,49, NaN, NaN, NaN, NaN, NaN, NaN, NaN
BIARRITZ,30.16,50,48,60,45,0, NaN, NaN, NaN
CORUNNA,30.04,66, NaN, NaN, NaN, NaN, NaN, NaN, NaN
TOULON,30.07,56,43,62,48,0, NaN, NaN, NaN
