Var	Year	Month	Day	Value	Test
Tx	1872	2	18	10.5555555556	daily_repetition
Tx	1872	2	19	10.5555555556	daily_repetition
Tx	1872	2	20	10.5555555556	daily_repetition
Tx	1872	2	21	10.5555555556	daily_repetition
Tx	1872	2	22	10.5555555556	daily_repetition
Tx	1872	2	23	10.5555555556	daily_repetition
Tx	1872	2	24	10.5555555556	daily_repetition
Tx	1872	3	4	12.7777777778	daily_repetition
Tx	1872	3	5	12.7777777778	daily_repetition
Tx	1872	3	6	12.7777777778	daily_repetition
Tx	1872	3	7	12.7777777778	daily_repetition
Tx	1872	10	12	13.3333333333	daily_repetition
Tx	1872	10	13	13.3333333333	daily_repetition
Tx	1872	10	14	13.3333333333	daily_repetition
Tx	1872	10	15	13.3333333333	daily_repetition
Tx	1873	1	8	12.2222222222	daily_repetition
Tx	1873	1	10	12.2222222222	daily_repetition
Tx	1873	1	11	12.2222222222	daily_repetition
Tx	1873	1	12	12.2222222222	daily_repetition
Tx	1873	12	31	11.6666666667	daily_repetition
Tx	1874	1	1	11.6666666667	daily_repetition
Tx	1874	1	2	11.6666666667	daily_repetition
Tx	1874	1	3	11.6666666667	daily_repetition
Tx	1874	5	13	16.1111111111	daily_repetition
Tx	1874	5	14	16.1111111111	daily_repetition
Tx	1874	5	15	16.1111111111	daily_repetition
Tx	1874	5	16	16.1111111111	daily_repetition
Tx	1874	8	12	17.2222222222	daily_repetition
Tx	1874	8	13	17.2222222222	daily_repetition
Tx	1874	8	14	17.2222222222	daily_repetition
Tx	1874	8	15	17.2222222222	daily_repetition
Tx	1874	10	31	15	daily_repetition
Tx	1874	11	1	15	daily_repetition
Tx	1874	11	2	15	daily_repetition
Tx	1874	11	3	15	daily_repetition
Tx	1875	1	18	11.6666666667	daily_repetition
Tx	1875	1	20	11.6666666667	daily_repetition
Tx	1875	1	24	11.6666666667	daily_repetition
Tx	1875	1	25	11.6666666667	daily_repetition
Tx	1875	1	26	11.6666666667	daily_repetition
Tx	1875	1	27	11.6666666667	daily_repetition
