Var	Year	Month	Day	Hour	Minute	Value	Test
rr	1862	12	22	7	51	64.008	climatic_outliers
rr	1862	12	23	7	51	53.086	climatic_outliers
rr	1863	4	11	7	51	48.006	climatic_outliers
rr	1863	5	13	7	51	42.926	climatic_outliers
rr	1863	6	11	7	51	55.118	climatic_outliers
rr	1863	6	12	7	51	45.974	climatic_outliers
rr	1863	10	9	7	51	41.91	climatic_outliers
rr	1863	11	2	7	51	52.07	climatic_outliers
rr	1863	12	3	7	51	49.276	climatic_outliers
rr	1864	1	25	7	51	53.086	climatic_outliers
rr	1864	3	9	7	51	71.882	climatic_outliers
rr	1864	3	28	7	51	74.168	climatic_outliers
rr	1864	7	11	7	51	29.972	climatic_outliers
rr	1864	12	12	7	51	52.07	climatic_outliers
rr	1865	1	13	7	51	55.88	climatic_outliers
rr	1865	5	1	7	51	32.004	climatic_outliers
rr	1865	7	24	7	51	28.956	climatic_outliers
rr	1865	10	28	7	51	38.1	climatic_outliers
rr	1865	10	30	7	51	44.958	climatic_outliers
rr	1871	9	26	7	51	61.976	climatic_outliers
rr	1875	1	2	7	51	70.612	climatic_outliers
