Var	Year	Month	Day	Hour	Minute	Value	Test
ta	1864	5	18	7	51	23.8888888889	climatic_outliers
ta	1864	10	11	7	51	11.1111111111	subdaily_repetition
ta	1864	10	12	7	51	11.1111111111	subdaily_repetition
ta	1864	10	13	7	51	11.1111111111	subdaily_repetition
ta	1864	10	14	7	51	11.1111111111	subdaily_repetition
ta	1864	10	15	7	51	11.1111111111	subdaily_repetition
ta	1864	10	16	7	51	11.1111111111	subdaily_repetition
ta	1865	4	27	7	51	21.1111111111	climatic_outliers
ta	1865	4	28	7	51	22.2222222222	climatic_outliers
ta	1867	4	3	7	51	10	subdaily_repetition
ta	1867	4	4	7	51	10	subdaily_repetition
ta	1867	4	5	7	51	10	subdaily_repetition
ta	1867	4	6	7	51	10	subdaily_repetition
ta	1867	4	8	7	51	10	subdaily_repetition
ta	1867	4	9	7	51	10	subdaily_repetition
ta	1870	7	25	7	51	28.8888888889	climatic_outliers
