Var	Year	Month	Day	Value	Test
Tn	1872	9	12	15.5555555556	daily_repetition
Tn	1872	9	13	15.5555555556	daily_repetition
Tn	1872	9	14	15.5555555556	daily_repetition
Tn	1872	9	15	15.5555555556	daily_repetition
Tn	1873	3	4	3.33333333333	daily_repetition
Tn	1873	3	5	3.33333333333	daily_repetition
Tn	1873	3	6	3.33333333333	daily_repetition
Tn	1873	3	7	3.33333333333	daily_repetition
Tn	1873	4	8	3.88888888889	daily_repetition
Tn	1873	4	9	3.88888888889	daily_repetition
Tn	1873	4	12	3.88888888889	daily_repetition
Tn	1873	4	13	3.88888888889	daily_repetition
Tn	1873	7	14	13.3333333333	daily_repetition
Tn	1873	7	15	13.3333333333	daily_repetition
Tn	1873	7	16	13.3333333333	daily_repetition
Tn	1873	7	17	13.3333333333	daily_repetition
Tn	1873	10	16	7.77777777778	daily_repetition
Tn	1873	10	17	7.77777777778	daily_repetition
Tn	1873	10	18	7.77777777778	daily_repetition
Tn	1873	10	19	7.77777777778	daily_repetition
Tn	1874	8	28	13.8888888889	daily_repetition
Tn	1874	8	29	13.8888888889	daily_repetition
Tn	1874	8	30	13.8888888889	daily_repetition
Tn	1874	8	31	13.8888888889	daily_repetition
