Var	Year	Month	Day	Value	Test
Tx	1872	2	24	9.44444444444	daily_repetition
Tx	1872	2	25	9.44444444444	daily_repetition
Tx	1872	2	26	9.44444444444	daily_repetition
Tx	1872	2	27	9.44444444444	daily_repetition
Tx	1872	7	22	26.1111111111	daily_repetition
Tx	1872	7	23	26.1111111111	daily_repetition
Tx	1872	7	24	26.1111111111	daily_repetition
Tx	1872	7	25	26.1111111111	daily_repetition
Tx	1872	10	24	12.2222222222	daily_repetition
Tx	1872	10	25	12.2222222222	daily_repetition
Tx	1872	10	26	12.2222222222	daily_repetition
Tx	1872	10	27	12.2222222222	daily_repetition
Tx	1872	10	28	12.2222222222	daily_repetition
Tx	1873	3	9	7.77777777778	daily_repetition
Tx	1873	3	10	7.77777777778	daily_repetition
Tx	1873	3	11	7.77777777778	daily_repetition
Tx	1873	3	12	7.77777777778	daily_repetition
Tx	1873	12	31	8.88888888889	daily_repetition
Tx	1874	1	1	8.88888888889	daily_repetition
Tx	1874	1	2	8.88888888889	daily_repetition
Tx	1874	1	3	8.88888888889	daily_repetition
Tx	1874	1	4	8.88888888889	daily_repetition
Tx	1874	10	10	15.5555555556	daily_repetition
Tx	1874	10	12	15.5555555556	daily_repetition
Tx	1874	10	13	15.5555555556	daily_repetition
Tx	1874	10	14	15.5555555556	daily_repetition
