Var	Year	Month	Day	Value	Test
Tn	1872	1	16	4.44444444444	daily_repetition
Tn	1872	1	17	4.44444444444	daily_repetition
Tn	1872	1	18	4.44444444444	daily_repetition
Tn	1872	1	19	4.44444444444	daily_repetition
Tn	1872	5	4	7.77777777778	daily_repetition
Tn	1872	5	5	7.77777777778	daily_repetition
Tn	1872	5	6	7.77777777778	daily_repetition
Tn	1872	5	7	7.77777777778	daily_repetition
Tn	1872	5	14	8.88888888889	daily_repetition
Tn	1872	5	15	8.88888888889	daily_repetition
Tn	1872	5	16	8.88888888889	daily_repetition
Tn	1872	5	17	8.88888888889	daily_repetition
Tn	1873	5	26	9.44444444444	daily_repetition
Tn	1873	5	27	9.44444444444	daily_repetition
Tn	1873	5	28	9.44444444444	daily_repetition
Tn	1873	5	29	9.44444444444	daily_repetition
Tn	1873	7	26	13.3333333333	daily_repetition
Tn	1873	7	27	13.3333333333	daily_repetition
Tn	1873	7	28	13.3333333333	daily_repetition
Tn	1873	7	29	13.3333333333	daily_repetition
Tn	1874	9	4	11.6666666667	daily_repetition
Tn	1874	9	5	11.6666666667	daily_repetition
Tn	1874	9	6	11.6666666667	daily_repetition
Tn	1874	9	7	11.6666666667	daily_repetition
Tn	1875	2	19	1.11111111111	daily_repetition
Tn	1875	2	20	1.11111111111	daily_repetition
Tn	1875	2	21	1.11111111111	daily_repetition
Tn	1875	2	22	1.11111111111	daily_repetition
