Var	Year	Month	Day	Value	Test
Tx	1872	7	21	20.5555555556	daily_repetition
Tx	1872	7	22	20.5555555556	daily_repetition
Tx	1872	7	23	20.5555555556	daily_repetition
Tx	1872	7	24	20.5555555556	daily_repetition
Tx	1872	7	25	20.5555555556	daily_repetition
Tx	1872	7	26	20.5555555556	daily_repetition
Tx	1873	1	14	11.1111111111	daily_repetition
Tx	1873	1	15	11.1111111111	daily_repetition
Tx	1873	1	16	11.1111111111	daily_repetition
Tx	1873	1	17	11.1111111111	daily_repetition
Tx	1873	2	14	7.22222222222	daily_repetition
Tx	1873	2	15	7.22222222222	daily_repetition
Tx	1873	2	16	7.22222222222	daily_repetition
Tx	1873	2	17	7.22222222222	daily_repetition
Tx	1873	2	18	7.22222222222	daily_repetition
Tx	1873	5	13	14.4444444444	daily_repetition
Tx	1873	5	14	14.4444444444	daily_repetition
Tx	1873	5	15	14.4444444444	daily_repetition
Tx	1873	5	16	14.4444444444	daily_repetition
Tx	1873	5	17	14.4444444444	daily_repetition
Tx	1873	5	27	14.4444444444	daily_repetition
Tx	1873	5	28	14.4444444444	daily_repetition
Tx	1873	5	29	14.4444444444	daily_repetition
Tx	1873	5	30	14.4444444444	daily_repetition
Tx	1874	1	19	10.5555555556	daily_repetition
Tx	1874	1	20	10.5555555556	daily_repetition
Tx	1874	1	21	10.5555555556	daily_repetition
Tx	1874	1	22	10.5555555556	daily_repetition
Tx	1875	1	3	10	daily_repetition
Tx	1875	1	4	10	daily_repetition
Tx	1875	1	5	10	daily_repetition
Tx	1875	1	6	10	daily_repetition
