Var	Year	Month	Day	Value	Test
Tn	1873	3	13	1.66666666667	daily_repetition
Tn	1873	3	14	1.66666666667	daily_repetition
Tn	1873	3	15	1.66666666667	daily_repetition
Tn	1873	3	16	1.66666666667	daily_repetition
Tn	1874	4	8	3.33333333333	daily_repetition
Tn	1874	4	9	3.33333333333	daily_repetition
Tn	1874	4	11	3.33333333333	daily_repetition
Tn	1874	4	12	3.33333333333	daily_repetition
Tn	1874	10	27	6.11111111111	daily_repetition
Tn	1874	10	28	6.11111111111	daily_repetition
Tn	1874	10	29	6.11111111111	daily_repetition
Tn	1874	10	30	6.11111111111	daily_repetition
Tn	1874	10	31	6.11111111111	daily_repetition
Tn	1874	11	16	6.11111111111	daily_repetition
Tn	1874	11	17	6.11111111111	daily_repetition
Tn	1874	11	18	6.11111111111	daily_repetition
Tn	1874	11	19	6.11111111111	daily_repetition
Tn	1875	2	18	2.22222222222	daily_repetition
Tn	1875	2	19	2.22222222222	daily_repetition
Tn	1875	2	20	2.22222222222	daily_repetition
Tn	1875	2	21	2.22222222222	daily_repetition
