Var	Year	Month	Day	Hour	Minute	Value	Test
rr	1862	3	8	8	0	23.368	climatic_outliers
rr	1863	8	31	8	0	38.1	climatic_outliers
rr	1864	10	20	8	0	31.75	climatic_outliers
rr	1865	7	8	8	0	53.34	climatic_outliers
rr	1865	11	27	8	0	27.94	climatic_outliers
rr	1866	12	29	8	0	29.718	climatic_outliers
rr	1867	8	21	8	0	38.862	climatic_outliers
rr	1867	10	28	8	0	48.006	climatic_outliers
rr	1868	1	31	8	0	38.1	climatic_outliers
rr	1868	2	1	8	0	29.718	climatic_outliers
rr	1868	8	12	8	0	34.544	climatic_outliers
rr	1868	8	23	8	0	32.766	climatic_outliers
rr	1868	8	24	8	0	43.434	climatic_outliers
rr	1869	4	17	8	0	37.846	climatic_outliers
rr	1872	6	8	8	0	29.21	climatic_outliers
rr	1872	6	26	8	0	27.178	climatic_outliers
rr	1872	10	22	8	0	29.718	climatic_outliers
rr	1874	8	14	8	0	28.194	climatic_outliers
