Var	Year	Month	Day	Value	Test
Tx	1872	2	20	8.88888888889	daily_repetition
Tx	1872	2	21	8.88888888889	daily_repetition
Tx	1872	2	22	8.88888888889	daily_repetition
Tx	1872	2	23	8.88888888889	daily_repetition
Tx	1872	12	22	10.5555555556	daily_repetition
Tx	1872	12	23	10.5555555556	daily_repetition
Tx	1872	12	24	10.5555555556	daily_repetition
Tx	1872	12	25	10.5555555556	daily_repetition
Tx	1873	4	2	10	daily_repetition
Tx	1873	4	3	10	daily_repetition
Tx	1873	4	4	10	daily_repetition
Tx	1873	4	5	10	daily_repetition
Tx	1873	4	6	10	daily_repetition
Tx	1873	4	24	8.33333333333	daily_repetition
Tx	1873	4	25	8.33333333333	daily_repetition
Tx	1873	4	26	8.33333333333	daily_repetition
Tx	1873	4	27	8.33333333333	daily_repetition
Tx	1873	6	26	16.6666666667	daily_repetition
Tx	1873	6	27	16.6666666667	daily_repetition
Tx	1873	6	28	16.6666666667	daily_repetition
Tx	1873	6	29	16.6666666667	daily_repetition
Tx	1874	3	26	10	daily_repetition
Tx	1874	3	27	10	daily_repetition
Tx	1874	3	28	10	daily_repetition
Tx	1874	3	29	10	daily_repetition
Tx	1874	3	30	10	daily_repetition
Tx	1875	1	4	9.44444444444	daily_repetition
Tx	1875	1	5	9.44444444444	daily_repetition
Tx	1875	1	6	9.44444444444	daily_repetition
Tx	1875	1	7	9.44444444444	daily_repetition
Tx	1875	2	13	9.44444444444	daily_repetition
Tx	1875	2	14	9.44444444444	daily_repetition
Tx	1875	2	15	9.44444444444	daily_repetition
Tx	1875	2	16	9.44444444444	daily_repetition
