Var	Year	Month	Day	Value	Test
Tn	1872	2	6	6.11111111111	daily_repetition
Tn	1872	2	8	6.11111111111	daily_repetition
Tn	1872	2	9	6.11111111111	daily_repetition
Tn	1872	2	10	6.11111111111	daily_repetition
Tn	1872	2	11	6.11111111111	daily_repetition
Tn	1872	3	7	7.77777777778	daily_repetition
Tn	1872	3	8	7.77777777778	daily_repetition
Tn	1872	3	9	7.77777777778	daily_repetition
Tn	1872	3	10	7.77777777778	daily_repetition
Tn	1872	5	4	10	daily_repetition
Tn	1872	5	5	10	daily_repetition
Tn	1872	5	6	10	daily_repetition
Tn	1872	5	7	10	daily_repetition
Tn	1872	5	8	10	daily_repetition
Tn	1872	5	19	7.77777777778	daily_repetition
Tn	1872	5	20	7.77777777778	daily_repetition
Tn	1872	5	21	7.77777777778	daily_repetition
Tn	1872	5	22	7.77777777778	daily_repetition
Tn	1872	8	13	13.8888888889	daily_repetition
Tn	1872	8	14	13.8888888889	daily_repetition
Tn	1872	8	15	13.8888888889	daily_repetition
Tn	1872	8	16	13.8888888889	daily_repetition
Tn	1872	8	24	15	daily_repetition
Tn	1872	8	25	15	daily_repetition
Tn	1872	8	26	15	daily_repetition
Tn	1872	8	27	15	daily_repetition
Tn	1873	4	12	4.44444444444	daily_repetition
Tn	1873	4	13	4.44444444444	daily_repetition
Tn	1873	4	14	4.44444444444	daily_repetition
Tn	1873	4	15	4.44444444444	daily_repetition
Tn	1873	6	10	12.2222222222	daily_repetition
Tn	1873	6	11	12.2222222222	daily_repetition
Tn	1873	6	12	12.2222222222	daily_repetition
Tn	1873	6	13	12.2222222222	daily_repetition
Tn	1874	4	15	7.77777777778	daily_repetition
Tn	1874	4	16	7.77777777778	daily_repetition
Tn	1874	4	17	7.77777777778	daily_repetition
Tn	1874	4	18	7.77777777778	daily_repetition
Tn	1874	4	19	7.77777777778	daily_repetition
