Var	Year	Month	Day	Hour	Minute	Value	Test
ta	1870	7	1	6	51	2.77777777778	climatic_outliers
ta	1872	6	23	14	51	31.1111111111	climatic_outliers
ta	1872	7	4	14	51	31.6666666667	climatic_outliers
ta	1872	7	5	14	51	32.7777777778	climatic_outliers
ta	1872	7	20	14	51	35.5555555556	climatic_outliers
ta	1872	7	21	14	51	33.8888888889	climatic_outliers
ta	1872	8	18	14	51	32.2222222222	climatic_outliers
ta	1872	8	19	14	51	30	climatic_outliers
ta	1872	11	28	6	51	12.7777777778	subdaily_repetition
ta	1872	11	28	14	51	12.7777777778	subdaily_repetition
ta	1872	11	29	6	51	12.7777777778	subdaily_repetition
ta	1872	11	29	14	51	12.7777777778	subdaily_repetition
ta	1872	11	30	6	51	12.7777777778	subdaily_repetition
ta	1872	11	30	14	51	12.7777777778	subdaily_repetition
ta	1873	5	12	14	51	28.8888888889	climatic_outliers
ta	1873	5	13	14	51	28.8888888889	climatic_outliers
ta	1873	6	28	14	51	35	climatic_outliers
ta	1873	7	20	14	51	31.1111111111	climatic_outliers
ta	1873	7	21	14	51	35	climatic_outliers
ta	1873	8	7	14	51	32.7777777778	climatic_outliers
ta	1873	8	8	14	51	31.1111111111	climatic_outliers
ta	1874	6	11	14	51	31.1111111111	climatic_outliers
ta	1874	8	21	14	51	30.5555555556	climatic_outliers
ta	1874	8	22	14	51	30	climatic_outliers
ta	1874	8	23	14	51	30.5555555556	climatic_outliers
ta	1874	8	24	14	51	31.6666666667	climatic_outliers
ta	1874	8	26	14	51	31.1111111111	climatic_outliers
