Var	Year	Month	Day	Value	Test
Tn	1872	2	4	5	daily_repetition
Tn	1872	2	5	5	daily_repetition
Tn	1872	2	6	5	daily_repetition
Tn	1872	2	7	5	daily_repetition
Tn	1872	2	8	5	daily_repetition
Tn	1872	2	12	7.22222222222	daily_repetition
Tn	1872	2	13	7.22222222222	daily_repetition
Tn	1872	2	14	7.22222222222	daily_repetition
Tn	1872	2	15	7.22222222222	daily_repetition
Tn	1872	3	14	5.55555555556	daily_repetition
Tn	1872	3	15	5.55555555556	daily_repetition
Tn	1872	3	16	5.55555555556	daily_repetition
Tn	1872	3	17	5.55555555556	daily_repetition
Tn	1872	4	14	5.55555555556	daily_repetition
Tn	1872	4	15	5.55555555556	daily_repetition
Tn	1872	4	16	5.55555555556	daily_repetition
Tn	1872	4	17	5.55555555556	daily_repetition
Tn	1872	5	6	5.55555555556	daily_repetition
Tn	1872	5	7	5.55555555556	daily_repetition
Tn	1872	5	8	5.55555555556	daily_repetition
Tn	1872	5	9	5.55555555556	daily_repetition
Tn	1874	2	4	6.11111111111	daily_repetition
Tn	1874	2	5	6.11111111111	daily_repetition
Tn	1874	2	6	6.11111111111	daily_repetition
Tn	1874	2	7	6.11111111111	daily_repetition
Tn	1874	9	3	11.1111111111	daily_repetition
Tn	1874	9	4	11.1111111111	daily_repetition
Tn	1874	9	5	11.1111111111	daily_repetition
Tn	1874	9	6	11.1111111111	daily_repetition
Tn	1874	9	7	11.1111111111	daily_repetition
Tn	1874	9	8	11.1111111111	daily_repetition
