Var	Year	Month	Day	Value	Test
Tx	1872	11	14	7.22222222222	daily_repetition
Tx	1872	11	15	7.22222222222	daily_repetition
Tx	1872	11	16	7.22222222222	daily_repetition
Tx	1872	11	17	7.22222222222	daily_repetition
Tx	1872	11	18	7.22222222222	daily_repetition
Tx	1872	11	30	8.33333333333	daily_repetition
Tx	1872	12	1	8.33333333333	daily_repetition
Tx	1872	12	2	8.33333333333	daily_repetition
Tx	1872	12	3	8.33333333333	daily_repetition
Tx	1872	12	4	8.33333333333	daily_repetition
Tx	1873	9	23	13.3333333333	daily_repetition
Tx	1873	9	24	13.3333333333	daily_repetition
Tx	1873	9	25	13.3333333333	daily_repetition
Tx	1873	9	26	13.3333333333	daily_repetition
Tx	1874	4	6	11.1111111111	daily_repetition
Tx	1874	4	7	11.1111111111	daily_repetition
Tx	1874	4	8	11.1111111111	daily_repetition
Tx	1874	4	9	11.1111111111	daily_repetition
Tx	1874	6	25	16.6666666667	daily_repetition
Tx	1874	6	26	16.6666666667	daily_repetition
Tx	1874	6	27	16.6666666667	daily_repetition
Tx	1874	6	28	16.6666666667	daily_repetition
Tx	1874	6	29	16.6666666667	daily_repetition
Tx	1874	12	23	1.66666666667	daily_repetition
Tx	1874	12	24	1.66666666667	daily_repetition
Tx	1874	12	25	1.66666666667	daily_repetition
Tx	1874	12	26	1.66666666667	daily_repetition
