Var	Year	Month	Day	Value	Test
Tn	1872	2	3	6.66666666667	daily_repetition
Tn	1872	2	4	6.66666666667	daily_repetition
Tn	1872	2	5	6.66666666667	daily_repetition
Tn	1872	2	6	6.66666666667	daily_repetition
Tn	1872	3	3	9.44444444444	daily_repetition
Tn	1872	3	4	9.44444444444	daily_repetition
Tn	1872	3	5	9.44444444444	daily_repetition
Tn	1872	3	6	9.44444444444	daily_repetition
Tn	1872	3	7	9.44444444444	daily_repetition
Tn	1872	4	10	8.88888888889	daily_repetition
Tn	1872	4	11	8.88888888889	daily_repetition
Tn	1872	4	12	8.88888888889	daily_repetition
Tn	1872	4	13	8.88888888889	daily_repetition
Tn	1872	4	14	8.88888888889	daily_repetition
Tn	1872	7	24	15.5555555556	daily_repetition
Tn	1872	7	25	15.5555555556	daily_repetition
Tn	1872	7	26	15.5555555556	daily_repetition
Tn	1872	7	27	15.5555555556	daily_repetition
Tn	1872	7	28	15.5555555556	daily_repetition
Tn	1872	7	29	15	daily_repetition
Tn	1872	7	30	15	daily_repetition
Tn	1872	7	31	15	daily_repetition
Tn	1872	8	1	15	daily_repetition
Tn	1872	8	21	15	daily_repetition
Tn	1872	8	22	15	daily_repetition
Tn	1872	8	23	15	daily_repetition
Tn	1872	8	24	15	daily_repetition
Tn	1872	9	12	15.5555555556	daily_repetition
Tn	1872	9	13	15.5555555556	daily_repetition
Tn	1872	9	14	15.5555555556	daily_repetition
Tn	1872	9	15	15.5555555556	daily_repetition
Tn	1873	2	8	2.77777777778	daily_repetition
Tn	1873	2	9	2.77777777778	daily_repetition
Tn	1873	2	10	2.77777777778	daily_repetition
Tn	1873	2	11	2.77777777778	daily_repetition
Tn	1873	12	16	9.44444444444	daily_repetition
Tn	1873	12	17	9.44444444444	daily_repetition
Tn	1873	12	18	9.44444444444	daily_repetition
Tn	1873	12	19	9.44444444444	daily_repetition
Tn	1874	11	24	8.88888888889	daily_repetition
Tn	1874	11	25	8.88888888889	daily_repetition
Tn	1874	11	26	8.88888888889	daily_repetition
Tn	1874	11	27	8.88888888889	daily_repetition
Tn	1874	11	28	8.88888888889	daily_repetition
