Var	Year	Month	Day	Value	Test
Tn	1872	5	5	6.66666666667	daily_repetition
Tn	1872	5	6	6.66666666667	daily_repetition
Tn	1872	5	7	6.66666666667	daily_repetition
Tn	1872	5	8	6.66666666667	daily_repetition
Tn	1872	9	16	11.1111111111	daily_repetition
Tn	1872	9	17	11.1111111111	daily_repetition
Tn	1872	9	18	11.1111111111	daily_repetition
Tn	1872	9	19	11.1111111111	daily_repetition
Tn	1872	9	29	8.33333333333	daily_repetition
Tn	1872	9	30	8.33333333333	daily_repetition
Tn	1872	10	1	8.33333333333	daily_repetition
Tn	1872	10	2	8.33333333333	daily_repetition
Tn	1873	2	5	2.22222222222	daily_repetition
Tn	1873	2	6	2.22222222222	daily_repetition
Tn	1873	2	7	2.22222222222	daily_repetition
Tn	1873	2	8	2.22222222222	daily_repetition
Tn	1873	4	13	5.55555555556	daily_repetition
Tn	1873	4	14	5.55555555556	daily_repetition
Tn	1873	4	15	5.55555555556	daily_repetition
Tn	1873	4	16	5.55555555556	daily_repetition
