Var	Year	Month	Day	Value	Test
Tx	1872	9	28	13.3333333333	daily_repetition
Tx	1872	9	29	13.3333333333	daily_repetition
Tx	1872	9	30	13.3333333333	daily_repetition
Tx	1872	10	1	13.3333333333	daily_repetition
Tx	1872	12	19	6.11111111111	daily_repetition
Tx	1872	12	20	6.11111111111	daily_repetition
Tx	1872	12	21	6.11111111111	daily_repetition
Tx	1872	12	22	6.11111111111	daily_repetition
Tx	1873	4	18	10	daily_repetition
Tx	1873	4	19	10	daily_repetition
Tx	1873	4	20	10	daily_repetition
Tx	1873	4	21	10	daily_repetition
Tx	1873	4	22	10	daily_repetition
Tx	1873	6	4	13.8888888889	daily_repetition
Tx	1873	6	5	13.8888888889	daily_repetition
Tx	1873	6	6	13.8888888889	daily_repetition
Tx	1873	6	7	13.8888888889	daily_repetition
Tx	1873	6	8	13.8888888889	daily_repetition
Tx	1873	6	10	18.3333333333	daily_repetition
Tx	1873	6	11	18.3333333333	daily_repetition
Tx	1873	6	12	18.3333333333	daily_repetition
Tx	1873	6	13	18.3333333333	daily_repetition
Tx	1873	6	14	18.3333333333	daily_repetition
Tx	1873	8	13	18.8888888889	daily_repetition
Tx	1873	8	14	18.8888888889	daily_repetition
Tx	1873	8	15	18.8888888889	daily_repetition
Tx	1873	8	16	18.8888888889	daily_repetition
Tx	1873	10	30	8.33333333333	daily_repetition
Tx	1873	10	31	8.33333333333	daily_repetition
Tx	1873	11	1	8.33333333333	daily_repetition
Tx	1873	11	2	8.33333333333	daily_repetition
