Var	Year	Month	Day	Hour	Minute	Value	Test
mslp	1873	1	27	8	0	1024.044336	wmo_time_consistency
mslp	1873	1	27	14	0	992.550909	wmo_time_consistency
mslp	1873	2	22	8	0	990.519075	wmo_time_consistency
mslp	1873	2	22	14	0	1024.721614	wmo_time_consistency
mslp	1873	10	20	8	0	991.873631	wmo_time_consistency
mslp	1873	10	20	14	0	1016.594278	wmo_time_consistency
mslp	1873	11	22	8	0	970.200735	wmo_time_consistency
mslp	1873	11	22	14	0	1013.546527	wmo_time_consistency
mslp	1873	11	29	8	0	990.857714	wmo_time_consistency
mslp	1873	11	29	14	0	1010.837415	wmo_time_consistency
mslp	1873	11	30	8	0	988.487241	wmo_time_consistency
mslp	1873	11	30	14	0	1007.789664	wmo_time_consistency
mslp	1874	10	21	8	0	976.296237	wmo_time_consistency
mslp	1874	10	21	14	0	957.671092	wmo_time_consistency
