Var	Year	Month	Day	Value	Test
Tx	1873	3	14	5.55555555556	daily_repetition
Tx	1873	3	15	5.55555555556	daily_repetition
Tx	1873	3	16	5.55555555556	daily_repetition
Tx	1873	3	18	5.55555555556	daily_repetition
Tx	1873	9	8	12.2222222222	daily_repetition
Tx	1873	9	9	12.2222222222	daily_repetition
Tx	1873	9	10	12.2222222222	daily_repetition
Tx	1873	9	11	12.2222222222	daily_repetition
Tx	1873	9	12	12.7777777778	daily_repetition
Tx	1873	9	13	12.7777777778	daily_repetition
Tx	1873	9	14	12.7777777778	daily_repetition
Tx	1873	9	15	12.7777777778	daily_repetition
Tx	1873	9	17	12.7777777778	daily_repetition
Tx	1874	9	9	13.3333333333	daily_repetition
Tx	1874	9	10	13.3333333333	daily_repetition
Tx	1874	9	11	13.3333333333	daily_repetition
Tx	1874	9	12	13.3333333333	daily_repetition
Tx	1875	2	16	7.77777777778	daily_repetition
Tx	1875	2	17	7.77777777778	daily_repetition
Tx	1875	2	18	7.77777777778	daily_repetition
Tx	1875	2	19	7.77777777778	daily_repetition
Tx	1875	3	22	10.5555555556	daily_repetition
Tx	1875	3	23	10.5555555556	daily_repetition
Tx	1875	3	24	10.5555555556	daily_repetition
Tx	1875	3	25	10.5555555556	daily_repetition
Tx	1875	3	26	10.5555555556	daily_repetition
