Var	Year	Month	Day	Value	Test
Tn	1872	2	29	9.44444444444	daily_repetition
Tn	1872	3	1	9.44444444444	daily_repetition
Tn	1872	3	2	9.44444444444	daily_repetition
Tn	1872	3	3	9.44444444444	daily_repetition
Tn	1872	3	4	9.44444444444	daily_repetition
Tn	1872	7	10	12.2222222222	daily_repetition
Tn	1872	7	11	12.2222222222	daily_repetition
Tn	1872	7	12	12.2222222222	daily_repetition
Tn	1872	7	13	12.2222222222	daily_repetition
Tn	1872	7	22	14.4444444444	daily_repetition
Tn	1872	7	23	14.4444444444	daily_repetition
Tn	1872	7	24	14.4444444444	daily_repetition
Tn	1872	7	25	14.4444444444	daily_repetition
Tn	1872	7	26	15	daily_repetition
Tn	1872	7	27	15	daily_repetition
Tn	1872	7	28	15	daily_repetition
Tn	1872	7	29	15	daily_repetition
Tn	1872	7	30	15	daily_repetition
Tn	1872	7	31	15	daily_repetition
Tn	1872	11	28	5.55555555556	daily_repetition
Tn	1872	11	29	5.55555555556	daily_repetition
Tn	1872	11	30	5.55555555556	daily_repetition
Tn	1872	12	1	5.55555555556	daily_repetition
Tn	1873	4	24	3.88888888889	daily_repetition
Tn	1873	4	25	3.88888888889	daily_repetition
Tn	1873	4	26	3.88888888889	daily_repetition
Tn	1873	4	27	3.88888888889	daily_repetition
Tn	1873	8	13	12.7777777778	daily_repetition
Tn	1873	8	14	12.7777777778	daily_repetition
Tn	1873	8	15	12.7777777778	daily_repetition
Tn	1873	8	16	12.7777777778	daily_repetition
Tn	1874	1	3	2.77777777778	daily_repetition
Tn	1874	1	4	2.77777777778	daily_repetition
Tn	1874	1	5	2.77777777778	daily_repetition
Tn	1874	1	6	2.77777777778	daily_repetition
Tn	1874	6	29	11.6666666667	daily_repetition
Tn	1874	6	30	11.6666666667	daily_repetition
Tn	1874	7	1	11.6666666667	daily_repetition
Tn	1874	7	2	11.6666666667	daily_repetition
Tn	1874	7	3	11.6666666667	daily_repetition
Tn	1874	9	1	10	daily_repetition
Tn	1874	9	2	10	daily_repetition
Tn	1874	9	3	10	daily_repetition
Tn	1874	9	4	10	daily_repetition
Tn	1874	9	5	10	daily_repetition
Tn	1874	9	6	10	daily_repetition
Tn	1874	9	10	10	daily_repetition
Tn	1874	9	11	10	daily_repetition
Tn	1874	9	12	10	daily_repetition
Tn	1874	9	13	10	daily_repetition
Tn	1874	10	19	7.77777777778	daily_repetition
Tn	1874	10	20	7.77777777778	daily_repetition
Tn	1874	10	21	7.77777777778	daily_repetition
Tn	1874	10	22	7.77777777778	daily_repetition
Tn	1874	10	31	7.22222222222	daily_repetition
Tn	1874	11	1	7.22222222222	daily_repetition
Tn	1874	11	2	7.22222222222	daily_repetition
Tn	1874	11	3	7.22222222222	daily_repetition
Tn	1874	12	10	4.44444444444	daily_repetition
Tn	1874	12	11	4.44444444444	daily_repetition
Tn	1874	12	12	4.44444444444	daily_repetition
Tn	1874	12	13	4.44444444444	daily_repetition
Tn	1875	1	12	8.88888888889	daily_repetition
Tn	1875	1	13	8.88888888889	daily_repetition
Tn	1875	1	14	8.88888888889	daily_repetition
Tn	1875	1	15	8.88888888889	daily_repetition
