Var	Year	Month	Day	Value	Test
Tx	1872	1	25	8.88888888889	daily_repetition
Tx	1872	1	26	8.88888888889	daily_repetition
Tx	1872	1	27	8.88888888889	daily_repetition
Tx	1872	1	28	8.88888888889	daily_repetition
Tx	1872	3	5	12.7777777778	daily_repetition
Tx	1872	3	6	12.7777777778	daily_repetition
Tx	1872	3	7	12.7777777778	daily_repetition
Tx	1872	3	8	12.7777777778	daily_repetition
Tx	1872	8	1	17.7777777778	daily_repetition
Tx	1872	8	2	17.7777777778	daily_repetition
Tx	1872	8	3	17.7777777778	daily_repetition
Tx	1872	8	4	17.7777777778	daily_repetition
Tx	1872	12	13	10	daily_repetition
Tx	1872	12	14	10	daily_repetition
Tx	1872	12	15	10	daily_repetition
Tx	1872	12	16	10	daily_repetition
Tx	1872	12	17	10	daily_repetition
Tx	1873	1	27	10	daily_repetition
Tx	1873	1	28	10	daily_repetition
Tx	1873	1	29	10	daily_repetition
Tx	1873	1	30	10	daily_repetition
Tx	1873	3	27	12.2222222222	daily_repetition
Tx	1873	3	28	12.2222222222	daily_repetition
Tx	1873	3	29	12.2222222222	daily_repetition
Tx	1873	3	30	12.2222222222	daily_repetition
Tx	1873	3	31	12.2222222222	daily_repetition
Tx	1873	5	26	15	daily_repetition
Tx	1873	5	27	15	daily_repetition
Tx	1873	5	28	15	daily_repetition
Tx	1873	5	29	15	daily_repetition
Tx	1873	8	9	17.2222222222	daily_repetition
Tx	1873	8	10	17.2222222222	daily_repetition
Tx	1873	8	11	17.2222222222	daily_repetition
Tx	1873	8	12	17.2222222222	daily_repetition
Tx	1873	9	4	15	daily_repetition
Tx	1873	9	5	15	daily_repetition
Tx	1873	9	6	15	daily_repetition
Tx	1873	9	7	15	daily_repetition
Tx	1873	9	8	15	daily_repetition
Tx	1873	10	24	10	daily_repetition
Tx	1873	10	25	10	daily_repetition
Tx	1873	10	26	10	daily_repetition
Tx	1873	10	27	10	daily_repetition
Tx	1874	4	1	12.7777777778	daily_repetition
Tx	1874	4	2	12.7777777778	daily_repetition
Tx	1874	4	3	12.7777777778	daily_repetition
Tx	1874	4	4	12.7777777778	daily_repetition
Tx	1874	6	22	17.2222222222	daily_repetition
Tx	1874	6	23	17.2222222222	daily_repetition
Tx	1874	6	24	17.2222222222	daily_repetition
Tx	1874	6	25	17.2222222222	daily_repetition
Tx	1874	8	3	16.6666666667	daily_repetition
Tx	1874	8	4	16.6666666667	daily_repetition
Tx	1874	8	5	16.6666666667	daily_repetition
Tx	1874	8	6	16.6666666667	daily_repetition
Tx	1874	9	10	17.2222222222	daily_repetition
Tx	1874	9	11	17.2222222222	daily_repetition
Tx	1874	9	12	17.2222222222	daily_repetition
Tx	1874	9	13	17.2222222222	daily_repetition
Tx	1874	9	15	17.2222222222	daily_repetition
Tx	1874	9	16	17.2222222222	daily_repetition
Tx	1874	11	20	12.2222222222	daily_repetition
Tx	1874	11	21	12.2222222222	daily_repetition
Tx	1874	11	22	12.2222222222	daily_repetition
Tx	1874	11	23	12.2222222222	daily_repetition
Tx	1874	11	24	12.2222222222	daily_repetition
Tx	1875	1	10	11.6666666667	daily_repetition
Tx	1875	1	11	11.6666666667	daily_repetition
Tx	1875	1	12	11.6666666667	daily_repetition
Tx	1875	1	13	11.6666666667	daily_repetition
