Var	Year	Month	Day	Value	Test
Tx	1872	10	25	11.1111111111	daily_repetition
Tx	1872	10	26	11.1111111111	daily_repetition
Tx	1872	10	27	11.1111111111	daily_repetition
Tx	1872	10	28	11.1111111111	daily_repetition
Tx	1872	10	30	12.7777777778	daily_repetition
Tx	1872	10	31	12.7777777778	daily_repetition
Tx	1872	11	1	12.7777777778	daily_repetition
Tx	1872	11	2	12.7777777778	daily_repetition
Tx	1873	8	13	22.2222222222	daily_repetition
Tx	1873	8	14	22.2222222222	daily_repetition
Tx	1873	8	15	22.2222222222	daily_repetition
Tx	1873	8	16	22.2222222222	daily_repetition
Tx	1873	8	17	22.2222222222	daily_repetition
Tx	1873	9	12	17.2222222222	daily_repetition
Tx	1873	9	13	17.2222222222	daily_repetition
Tx	1873	9	14	17.2222222222	daily_repetition
Tx	1873	9	15	17.2222222222	daily_repetition
Tx	1874	11	4	12.7777777778	daily_repetition
Tx	1874	11	5	12.7777777778	daily_repetition
Tx	1874	11	6	12.7777777778	daily_repetition
Tx	1874	11	7	12.7777777778	daily_repetition
